# Genotype, Mouse, Day, Beaconed, Probe
GFP,14,4.0,3.5102023656925483,nan
GFP,14,5.0,7.587594937508431,nan
GFP,14,6.0,3.589027209443933,nan
GFP,14,7.0,2.8215972660728994,5.083546194455291
GFP,14,8.0,9.342951296764479,18.088004341709407
GFP,14,9.0,11.654018800033658,22.189769851223353
GFP,14,10.0,9.920202870333334,18.30553011773057
GFP,14,11.0,16.48426291262623,17.896617806005523
GFP,14,12.0,17.008497149653294,17.571348443413747
GFP,14,13.0,16.812302401401375,19.14295213046306
GFP,14,14.0,17.904053236035026,19.65856090123078
GFP,14,15.0,17.973195183980298,20.022517118309498
GFP,14,16.0,10.514455669721432,13.276445001781532
GFP,14,17.0,19.632132424521117,22.17092607648916
GFP,14,18.0,12.610395472780848,14.31652261355436
GFP,14,19.0,1.722197106610259,9.302133507945713
GFP,15,1.0,-1.6159045434810992,nan
GFP,15,2.0,0.12284245966398555,nan
GFP,15,3.0,6.9972999366255335,nan
GFP,15,4.0,10.61243596331771,nan
GFP,15,5.0,16.49812256445074,nan
GFP,15,6.0,17.011043383173675,nan
GFP,15,7.0,21.950046098884656,23.34382637644309
GFP,15,8.0,21.916019846576624,23.66321468743674
GFP,15,9.0,22.484088198804876,24.770822231868024
GFP,15,10.0,25.745037743573764,27.34490852394235
GFP,15,11.0,26.912134127727885,27.89917418149878
GFP,15,12.0,24.38168061195454,21.725263249782234
GFP,15,13.0,14.95509378698773,12.97087972314734
GFP,15,14.0,17.780678233747132,20.390654220068708
GFP,15,15.0,22.64681363373811,24.71869861522456
GFP,15,16.0,21.857167948606374,18.74753075074846
GFP,15,17.0,22.848838591103984,22.586450123945006
GFP,15,18.0,26.21482344228155,26.177237677645543
GFP,15,19.0,21.086377269543124,19.794196774216605
GFP,16,1.0,0.9888669118550015,nan
GFP,16,2.0,-1.7261829618979216,nan
GFP,16,3.0,8.56581124099097,nan
GFP,16,4.0,6.908246483652125,nan
GFP,16,5.0,16.775696431070987,nan
GFP,16,6.0,15.923496830445238,nan
GFP,16,7.0,17.759579683867486,19.13849405459385
GFP,16,8.0,14.83162511508535,15.999835627038998
GFP,16,9.0,17.750930634067945,20.298919761800267
GFP,16,10.0,17.268992318023372,20.673497615477558
GFP,16,11.0,18.95272684924814,21.441462977765337
GFP,16,12.0,21.309214711841907,19.7850011288564
GFP,16,13.0,17.497807205040342,16.671642994511075
GFP,16,14.0,21.065661103998558,22.76697376724291
GFP,16,15.0,17.837600716888787,15.824809584573575
GFP,16,16.0,25.111212580474458,27.069947348552798
GFP,16,17.0,20.502031692631515,20.972151472277865
GFP,16,18.0,16.53572376632021,17.821103841839786
GFP,16,19.0,9.317995336586591,6.508481044730297
