# Mouse, Day, Trialtype, Location (cm)
2,1,3,       nan
2,2,3,       nan
2,3,3,       nan
2,4,3,       nan
2,5,3,       nan
2,6,3,       nan
2,7,3,       nan
2,8,3,       nan
2,9,3,       nan
2,10,3,       nan
2,11,3,       nan
2,12,3,       nan
2,13,3,       nan
2,14,3,       nan
2,15,3,    15.362
2,16,3,    18.526
2,17,3,    14.169
2,18,3,    21.657
2,19,3,    12.899
2,20,3,     3.830
2,21,3,     0.294
2,22,3,     6.431
3,1,3,       nan
3,2,3,       nan
3,3,3,       nan
3,4,3,       nan
3,5,3,       nan
3,6,3,       nan
3,7,3,       nan
3,8,3,       nan
3,9,3,       nan
3,10,3,       nan
3,11,3,       nan
3,12,3,       nan
3,13,3,       nan
3,14,3,       nan
3,15,3,       nan
3,16,3,       nan
3,17,3,       nan
3,18,3,       nan
3,19,3,       nan
3,20,3,       nan
3,21,3,       nan
3,22,3,       nan
4,1,3,       nan
4,2,3,       nan
4,3,3,       nan
4,4,3,       nan
4,5,3,       nan
4,6,3,       nan
4,7,3,       nan
4,8,3,       nan
4,9,3,       nan
4,10,3,       nan
4,11,3,       nan
4,12,3,       nan
4,13,3,       nan
4,14,3,       nan
4,15,3,       nan
4,16,3,       nan
4,17,3,       nan
4,18,3,       nan
4,19,3,       nan
4,20,3,       nan
4,21,3,       nan
4,22,3,    11.121
5,1,3,       nan
5,2,3,       nan
5,3,3,       nan
5,4,3,       nan
5,5,3,       nan
5,6,3,       nan
5,7,3,       nan
5,8,3,       nan
5,9,3,       nan
5,10,3,       nan
5,11,3,       nan
5,12,3,       nan
5,13,3,       nan
5,14,3,       nan
5,15,3,       nan
5,16,3,       nan
5,17,3,       nan
5,18,3,       nan
5,19,3,       nan
5,20,3,       nan
5,21,3,       nan
5,22,3,       nan
6,1,3,       nan
6,2,3,       nan
6,3,3,       nan
6,4,3,       nan
6,5,3,       nan
6,6,3,       nan
6,7,3,       nan
6,8,3,       nan
6,9,3,       nan
6,10,3,       nan
6,11,3,       nan
6,12,3,       nan
6,13,3,       nan
6,14,3,       nan
6,15,3,       nan
6,16,3,       nan
6,17,3,       nan
6,18,3,       nan
6,19,3,       nan
6,20,3,       nan
6,21,3,       nan
6,22,3,       nan
7,1,3,       nan
7,2,3,       nan
7,3,3,       nan
7,4,3,       nan
7,5,3,       nan
7,6,3,       nan
7,7,3,       nan
7,8,3,       nan
7,9,3,       nan
7,10,3,       nan
7,11,3,       nan
7,12,3,       nan
7,13,3,       nan
7,14,3,       nan
7,15,3,     5.744
7,16,3,     0.014
7,17,3,    14.252
7,18,3,    -6.758
7,19,3,    15.032
7,20,3,    17.781
7,21,3,     8.017
7,22,3,    -0.513
8,1,3,       nan
8,2,3,       nan
8,3,3,       nan
8,4,3,       nan
8,5,3,       nan
8,6,3,       nan
8,7,3,       nan
8,8,3,       nan
8,9,3,       nan
8,10,3,       nan
8,11,3,       nan
8,12,3,       nan
8,13,3,       nan
8,14,3,       nan
8,15,3,       nan
8,16,3,       nan
8,17,3,       nan
8,18,3,       nan
8,19,3,       nan
8,20,3,       nan
8,21,3,       nan
8,22,3,    -0.617
