# Genotype, Mouse, Day, Beaconed, Probe
GFP,15,4.0,41.799623120505274,nan
GFP,15,5.0,47.699364300606895,nan
GFP,15,6.0,50.94849092266944,nan
GFP,15,7.0,45.41400891030352,35.53857553790664
GFP,15,8.0,45.46368101407795,31.911417887458743
GFP,15,9.0,47.71390968939676,39.62156408348506
GFP,15,10.0,47.6975549729256,41.69144298104231
GFP,15,11.0,47.46420181455521,39.84486932162585
GFP,15,12.0,41.36654799318485,36.781347587167986
GFP,15,13.0,35.797628433873705,18.83815856732099
GFP,15,14.0,46.42715533154811,40.69944820565385
GFP,15,15.0,48.54938491656382,47.18201959288274
GFP,15,16.0,46.61259751131537,40.207352127312376
GFP,15,17.0,49.078856423417136,50.64503236197967
GFP,15,18.0,44.605152655943016,44.30326142761607
GFP,15,19.0,42.69798875754035,37.24565123727577
GFP,16,1.0,9.959335049068587,nan
GFP,16,2.0,19.396625559460166,nan
GFP,16,3.0,33.26266452138575,nan
GFP,16,4.0,40.12805067676683,nan
GFP,16,5.0,45.1807708143581,nan
GFP,16,6.0,47.03163202819299,nan
GFP,16,7.0,48.88265237457506,34.39770244833476
GFP,16,8.0,42.67120222192338,40.48158017533647
GFP,16,9.0,35.123491353644056,32.915555182540736
GFP,16,10.0,42.357070838482976,37.18353614757004
GFP,16,11.0,44.124986934760464,38.60277030540377
GFP,16,12.0,45.40663664765475,37.59475506416743
GFP,16,13.0,40.23669372263136,26.40079374160866
GFP,16,14.0,47.17048000170981,39.379935314156896
GFP,16,15.0,43.35059934312331,33.07477331343107
GFP,16,16.0,56.130173878180614,49.15392445658118
GFP,16,17.0,56.99664782237427,60.40353411637747
GFP,16,18.0,56.665868675151145,54.05802038066318
GFP,16,19.0,51.55587151251778,46.892379171593255
